"filename", "language", "pip requirements", "Python", "toml", "Shell Script", "Markdown", "Ini", "comment", "blank", "total"
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\orders\migrations\0001_initial.py", "Python", 0, 58, 0, 0, 0, 0, 1, 7, 66
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\orders\migrations\0002_alter_orderitem_quantity.py", "Python", 0, 13, 0, 0, 0, 0, 1, 6, 20
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\orders\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\orders\models.py", "Python", 0, 84, 0, 0, 0, 0, 1, 22, 107
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\orders\serializers.py", "Python", 0, 60, 0, 0, 0, 0, 0, 9, 69
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\orders\tests.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\orders\urls.py", "Python", 0, 6, 0, 0, 0, 0, 0, 5, 11
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\orders\views.py", "Python", 0, 85, 0, 0, 0, 0, 0, 30, 115
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\admin.py", "Python", 0, 4, 0, 0, 0, 0, 1, 3, 8
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\exceptions.py", "Python", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\migrations\0001_initial.py", "Python", 0, 36, 0, 0, 0, 0, 1, 7, 44
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\models.py", "Python", 0, 29, 0, 0, 0, 0, 1, 15, 45
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\serializers.py", "Python", 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\services.py", "Python", 0, 206, 0, 0, 0, 0, 1, 56, 263
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\urls.py", "Python", 0, 18, 0, 0, 0, 0, 0, 7, 25
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\utils.py", "Python", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\views.py", "Python", 0, 129, 0, 0, 0, 0, 1, 26, 156
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\payment\webhooks_urls.py", "Python", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\admin.py", "Python", 0, 11, 0, 0, 0, 0, 0, 6, 17
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\migrations\0001_initial.py", "Python", 0, 60, 0, 0, 0, 0, 1, 7, 68
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\migrations\0002_alter_product_slug.py", "Python", 0, 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\models.py", "Python", 0, 91, 0, 0, 0, 0, 0, 31, 122
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\serializers.py", "Python", 0, 87, 0, 0, 0, 0, 0, 19, 106
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\urls.py", "Python", 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\validators.py", "Python", 0, 1, 0, 0, 0, 0, 0, 1, 2
